Release Calendar

Advanced Search
Watchlist
Spider-Man: No Way Home
Empire of Light
Licorice Pizza
Eyes Wide Shut
Edward Scissorhands
The Departed
Promising Young Woman
About Time
Vengeance
Oldboy
Captain America: The First Avenger
West Side Story
City of God
Nightmare Alley
Harry Potter and the Half-Blood Prince
Legend
Watchmen
Secretary
Ghost
Instant Family
Wonder Woman 1984
The Proposal
The Karate Kid
Grease
Highlander
Flames
The Butterfly Effect
A Star Is Born
9 Songs
The Lives of Others
The Amazing Spider-Man
Batman Forever
Hellraiser
The Graduate
You've Got Mail
Freeway
Cherry
The King of Staten Island
Palm Springs
Waves
Robin Hood
Rear Window
Gods of Egypt
Coming to America
Love and Monsters
Cocktail
The Talented Mr. Ripley
Bonnie and Clyde
Bruce Almighty
Pineapple Express
Get the IMDb App
The Eyes of Tammy Faye
Wild at Heart
High Fidelity
Boyhood
A Nightmare on Elm Street 2: Freddy's Revenge
Masters of the Universe
Zombieland: Double Tap
Songbird
Venus
A Goofy Movie
Vampire Academy
Zola
Midnight Express
Scream 2
Freedom Writers
The American
Practical Magic
The Divergent Series: Insurgent
Across the Universe
Possessor
Swingers
The Last Picture Show
Prozac Nation
Bronson
A Christmas Movie Christmas
The Wolf of Snow Hollow
Rebel Without a Cause
American Pie Presents: The Naked Mile
Mona Lisa Smile
I Know Where I'm Going!
Where Eagles Dare
High Noon
Morgan
Bride of Chucky
25th Hour
Tolkien
The Dead Zone
Children of the Corn
Our Friend
The Squid and the Whale
Jamón, Jamón
Heavy
Breathless
Honest Thief
Sliding Doors
Christmas at the Plaza
Peggy Sue Got Married
Anthropoid
Savage Grace
Singles
Forever Young
Less Than Zero
May
The Souvenir
Colonia
LOL
Open Your Eyes
Radioactive
Capote
Words on Bathroom Walls
True History of the Kelly Gang
Collide
Without a Paddle
The Secret: Dare to Dream
Georgia Rule
Cold War
The Ultimate Gift
The Big Blue
Nikita
Spread
Persepolis
Double Lover
The Last Song
The Good Girl
Matchstick Men
Young Sherlock Holmes
Rebelde
Control
Stay
Yi Yi: A One and a Two...
Burden
A Gift Wrapped Christmas
Song to Song
The Clovehitch Killer
Tin Cup
American Pie Presents: The Book of Love
Everything, Everything
Halloween 4: The Return of Michael Myers
The Opposite of Sex
The High Note
The Savages
The Wanderers
The Broken Hearts Gallery
In the Fade
Kicking and Screaming
Tammy and the T-Rex
White Oleander
Stuck on You
Little Joe
Saved!
Fever Pitch
Tekken
Junebug
Party Monster
Le Samouraï
Nowhere
Bonhoeffer: Agent of Grace
Hatari!
Project Almanac
Sugar & Spice
The Bird with the Crystal Plumage
Red Joan
Babyteeth
All My Life
Obvious Child
The Apartment
Secret Admirer
Laurel Canyon
Down to You
The Doom Generation
Gully Boy
Proof
Human Traffic
Rocco and His Brothers
My Salinger Year
Swimfan
5 to 7
Like Water for Chocolate
Long Day's Journey Into Night
Tiptoes
In the Land of Women
The Best of Youth
Matchmaker Santa
Mr. Wonderful
Vice Versa
Premature
Save Yourselves!
Law of Desire
Fun Size
Abandon
Beanpole
Asako I & II
Country Strong
Insomnia
Sylvie's Love
Thumbsucker
Two Girls and a Guy
King Kong Lives
Free Willy 2: The Adventure Home
The Gay Deceivers
Head Over Heels
Comet
Ask the Dust
The Mirror Has Two Faces
Parisienne
Blue Juice
The Dead Girl
All or Nothing
Addicted to Love
The Photograph
Boy A
Lemon Popsicle
Feast of Love
A Firehouse Christmas
A Guide to Recognizing Your Saints
The Greatest
Lovewrecked
Outside Providence
Katie Says Goodbye
The Last Five Years
Simple Men
Camp
Yor: The Hunter from the Future
Head in the Clouds
Ruby in Paradise
Pickup on South Street
Monsieur Ibrahim
Dogfight
Wild Reeds
Holiday High School Reunion
Miss Meadows
Never Talk to Strangers
Prom
All Summers End
Viridiana
Billy Bathgate
Solitary Man
The Tall Guy
Trojan War
I Confess
Rent-A-Pal
Dog Days
Head On
Somersault
Howling III
Blood and Chocolate
Söz
Their Eyes Were Watching God
Cover Girl
Populaire
Jesus' Son
The Unbelievable Truth
The Loss of Sexual Innocence
Superman/Doomsday
He Said, She Said
Bad Guy
Love at Second Sight
Two Days in Paris
Glorious 39
Tumbleweeds
A Fairly Odd Movie: Grow Up, Timmy Turner!
The Lovers
Homecoming
Carefree
The Hunchback of Notre Dame II
Happily Ever After
Lucky 7
Five Corners
Alex & Emma
Frankie
Stoned
Happy Campers
Crime + Punishment in Suburbia
Yossi & Jagger
Gorgeous
The Sterile Cuckoo
Sleepwalk with Me
Plus One at an Amish Wedding
CQ
The Vicious Kind
Caliber 9
Rory O'Shea Was Here
The Last Time I Committed Suicide
Love's Complicated
The Sweetest Heart
The Edukators
Far North
Chinese Box
The Son's Room
Scottish Mussel
My Brilliant Career
Die, Monster, Die!
Lovely & Amazing
Last Night
Ben X
3some
The Taste of Others
George Washington
Brief Interviews with Hideous Men
Calendar Girl
Touchez Pas au Grisbi
Wilbur Wants to Kill Himself
Skin
Love Steaks
Summer Affair
Down to the Bone
Immortality
Playing for Time
My Perfect Romance
Somers Town
Toto le héros
Valentin
Cattle Call
New Life
The City of Your Final Destination
Hercules in the Underworld
Happy Together
Fists in the Pocket
Music from Another Room
The Automatic Hate
Twist and Shout
B. Monkey
Hard Core Logo
OK Kanmani
Peep World
Nói albinói
Dedication
Once Upon a Time in the Midlands
Devilman Volume 3: Devilman Apocalypse
I Am a Sex Addict
Flakes
Twice Upon a Yesterday
The Puffy Chair
Beautiful Ohio
Denial
Bodies, Rest & Motion
CIA II: Target Alexa
The Happiest Day in the Life of Olli Maki
The Star Maker
Ek Hasina Thi
Hurricane Streets
Three Dancing Slaves
Anja
Carla's Song
Manhattan Romance
A Merry War
Love and Other Catastrophes
Billy's Hollywood Screen Kiss
Secrets of the Heart
Walking the Dog
The Crossing
The Last Patrol
From the Edge of the City
The Significant Other
My Sex Life... or How I Got Into an Argument
Camille Rewinds
Selena Gomez: Hands to Myself
Dogtown
Kings & Queen
Go Now
Uncertainty
Going Steady
American Teen
Godforsaken
