Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
Cheaper by the Dozen,2003,"Comedy, Family",English,"$138,614,544",2003-12-25 00:00:00,5.9
Christopher Robin,2018,"Adventure, Comedy, Drama",English,"$99,215,042",2018-08-03 00:00:00,7.2
D3: The Mighty Ducks,1996,"Action, Comedy, Drama",English,"$22,955,097",1996-10-04 00:00:00,5.4
Trick or Treat,1986,"Comedy, Horror, Music",English,"$6,797,218",1986-10-24 00:00:00,5.8
Solo: A Star Wars Story,2018,"Action, Adventure, Sci-Fi",English,"$213,767,512",2018-05-25 00:00:00,6.9
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi","English, Vietnamese, French","$233,921,534",2014-05-23 00:00:00,7.9
Race to Witch Mountain,2009,"Action, Adventure, Family",English,"$67,172,594",2009-03-13 00:00:00,5.7
The Mighty Ducks,1992,"Comedy, Drama, Family",English,"$50,752,337",1992-10-02 00:00:00,6.5
While You Were Sleeping,1995,"Comedy, Drama, Romance",English,"$81,057,016",1995-04-21 00:00:00,6.7
Maleficent: Mistress of Evil,2019,"Adventure, Family, Fantasy",English,"$113,929,605",2019-10-18 00:00:00,6.6
Onward,2020,"Animation, Adventure, Comedy",English,"$61,555,145",2020-03-06 00:00:00,7.4
