Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
Jingle All the Way,1996,"Adventure, Comedy, Family",English,"$60,592,389",1996-11-22 00:00:00,5.7
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy","English, Spanish","$172,558,876",2017-05-26 00:00:00,6.5
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Family, Fantasy","English, Greek, Ancient (to 1453)","$88,768,303",2010-02-12 00:00:00,5.8
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy","English, French","$21,002,919",2009-11-25 00:00:00,7.9
George of the Jungle,1997,"Action, Adventure, Comedy","English, Spanish","$105,263,257",1997-07-16 00:00:00,5.5
Homeward Bound II: Lost in San Francisco,1996,"Adventure, Comedy, Family",English,"$32,772,492",1996-03-08 00:00:00,5.9
National Treasure,2004,"Action, Adventure, Mystery","English, Spanish","$173,008,894",2004-11-19 00:00:00,6.9
The Last Song,2010,"Drama, Music, Romance",English,"$62,950,384",2010-03-31 00:00:00,6.0
The Finest Hours,2016,"Action, Drama, History","English, Ukrainian","$27,569,558",2016-01-29 00:00:00,6.7
Because of Winn-Dixie,2005,"Comedy, Drama, Family",English,"$32,647,042",2005-02-18 00:00:00,6.3
Splash,1983,"Comedy, Fantasy, Romance","English, Swedish","$69,821,334",1984-03-09 00:00:00,6.3
The Lodge,2019,"Drama, Horror, Mystery",English,"$2,138,907",2020-01-16 00:00:00,6.0
Holes,2003,"Adventure, Comedy, Drama",English,"$67,406,573",2003-04-18 00:00:00,7.0
Glory Road,2006,"Biography, Drama, Sport",English,"$42,647,449",2006-01-13 00:00:00,7.2
Coco,2017,"Animation, Adventure, Comedy","English, Spanish","$210,460,015",2017-11-22 00:00:00,8.4
102 Dalmatians,2000,"Adventure, Comedy, Family",English,"$66,957,026",2000-11-22 00:00:00,4.8
A Kid in King Arthur's Court,1995,"Adventure, Comedy, Family",English,"$13,406,717",1995-08-11 00:00:00,4.7
Amy,2015,"Documentary, Biography, Music",English,"$8,413,144",2015-07-03 00:00:00,7.8
Avatar,2009,"Action, Adventure, Fantasy","English, Spanish","$785,221,649",2009-12-18 00:00:00,7.8
Brave,2012,"Animation, Adventure, Comedy",English,"$237,283,207",2012-06-22 00:00:00,7.1
Cars 2,2011,"Animation, Adventure, Comedy","English, Japanese, Italian, French","$191,452,396",2011-06-24 00:00:00,6.2
Chicken Little,2005,"Animation, Adventure, Comedy",English,"$135,386,665",2005-11-04 00:00:00,5.7
Cinderella,2015,"Adventure, Drama, Family",English,"$201,151,353",2015-03-13 00:00:00,6.9
Doug's 1st Movie,1999,"Animation, Adventure, Comedy",English,"$19,440,089",1999-03-26 00:00:00,4.9
Eight Below,2006,"Adventure, Drama, Family",English,"$81,612,565",2006-02-17 00:00:00,7.3
Escape to Witch Mountain,1975,"Adventure, Family, Fantasy",English,"$20,000,000",1975-03-21 00:00:00,6.3
Fantasia,1940,"Animation, Family, Fantasy",English,"$76,408,097",1941-09-19 00:00:00,7.7
Fantasia 2000,1999,"Animation, Family, Fantasy",English,"$60,655,420",2000-06-16 00:00:00,7.1
Freaky Friday,2003,"Comedy, Family, Fantasy","English, Mandarin","$110,230,332",2003-08-06 00:00:00,6.3
Herbie Goes Bananas,1980,"Adventure, Comedy, Family","English, Spanish","$18,000,000",1980-06-25 00:00:00,4.9
Hercules,1997,"Animation, Adventure, Comedy","English, Spanish, Greek","$99,112,101",1997-06-27 00:00:00,7.3
I'll Be Home for Christmas,1998,"Comedy, Family",English,"$12,214,338",1998-11-13 00:00:00,5.5
Inspector Gadget,1999,"Action, Adventure, Comedy","English, Norwegian, French, Spanish","$97,403,112",1999-07-23 00:00:00,4.1
Iron Will,1994,"Adventure, Family",English,"$21,006,361",1994-01-14 00:00:00,6.6
Jungle 2 Jungle,1997,"Comedy, Family",English,"$59,927,618",1997-03-07 00:00:00,5.1
Kickin' It Old Skool,2007,"Comedy, Sport","English, Korean, Persian","$4,502,604",2007-04-27 00:00:00,4.6
Mighty Joe Young,1998,"Action, Adventure, Family","English, Swahili","$50,632,037",1998-12-25 00:00:00,5.7
