Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
Dinosaur,2000,"Animation, Adventure, Drama",English,"$137,748,063",2000-05-19 00:00:00,6.4
First Kid,1996,"Comedy, Family",English,"$26,491,793",1996-08-30 00:00:00,5.2
Gus,1976,"Comedy, Family, Sport",English,"$21,873,000",1976-07-07 00:00:00,5.7
Jack,1996,"Comedy, Drama, Fantasy","English, Spanish","$58,620,973",1996-08-09 00:00:00,5.8
Life with Mikey,1993,"Comedy, Family",English,"$12,440,858",1993-06-04 00:00:00,5.6
Lilo & Stitch,2002,"Animation, Adventure, Comedy","English, Hawaiian","$145,794,338",2002-06-21 00:00:00,7.3
Mary Poppins,1964,"Comedy, Family, Fantasy",English,"$102,272,727",1965-06-18 00:00:00,7.8
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",English,"$290,642,256",2001-11-02 00:00:00,8.1
Old Yeller,1957,"Adventure, Drama, Family",English,"$21,909,000",1959-07-10 00:00:00,7.3
Pinocchio,1940,"Animation, Adventure, Comedy",English,"$84,254,167",1940-02-23 00:00:00,7.5
Pooh's Heffalump Movie,2005,"Animation, Adventure, Comedy",English,"$18,098,433",2005-02-11 00:00:00,6.4
Remember the Titans,2000,"Biography, Drama, Sport",English,"$115,719,751",2000-09-29 00:00:00,7.8
Secretariat,2010,"Biography, Drama, Family",English,"$59,713,955",2010-10-08 00:00:00,7.2
