Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
Ernest Saves Christmas,1988,"Comedy, Family, Fantasy",English,"$28,202,109",1988-11-11 00:00:00,5.6
Becoming Cousteau,2021,"Documentary, Adventure, Biography","English, French","$231,687",2021-11-24 00:00:00,7.1
America the Beautiful,2007,Documentary,English,"$76,173",2007-03-30 00:00:00,6.8
Enchanted,2007,"Animation, Adventure, Comedy",English,"$127,807,262",2007-11-21 00:00:00,7.1
Feast,2005,"Action, Comedy, Horror",English,"$56,131",2007-01-18 00:00:00,6.2
Jungle Cruise,2021,"Action, Adventure, Comedy","English, German, Spanish, Italian, Tupi, French, Portuguese, Latin","$116,987,516",2021-07-30 00:00:00,6.6
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy","English, Mandarin","$224,543,292",2021-09-03 00:00:00,7.4
Willow,1988,"Action, Adventure, Drama",English,"$57,269,863",1988-05-20 00:00:00,7.2
Alvin and the Chipmunks: Chipwrecked,2011,"Animation, Adventure, Comedy",English,"$133,110,742",2011-12-16 00:00:00,4.3
X-Men: First Class,2011,"Action, Adventure, Sci-Fi","English, German, French, Spanish, Russian","$146,408,305",2011-06-03 00:00:00,7.7
"McFarland, USA",2015,"Biography, Drama, Sport","English, Spanish","$44,482,410",2015-02-20 00:00:00,7.4
Rookie of the Year,1993,"Comedy, Family, Fantasy",English,"$53,615,089",1993-07-07 00:00:00,6.0
Thumbelina,1994,"Animation, Adventure, Family",English,"$11,373,501",1994-03-30 00:00:00,6.2
Black Widow,2021,"Action, Adventure, Sci-Fi","English, Russian, Norwegian, Hungarian, Macedonian, Finnish","$183,651,655",2021-07-09 00:00:00,6.7
Alvin and the Chipmunks,2007,"Adventure, Comedy, Drama","English, French, Spanish, Japanese","$217,326,974",2007-12-14 00:00:00,5.2
Alvin and the Chipmunks: The Road Chip,2015,"Animation, Adventure, Comedy","English, Spanish","$85,886,987",2015-12-18 00:00:00,4.9
Maleficent,2014,"Adventure, Family, Fantasy",English,"$241,410,378",2014-05-30 00:00:00,6.9
The Fault in Our Stars,2014,"Drama, Romance",English,"$124,872,350",2014-06-06 00:00:00,7.7
Confessions of a Shopaholic,2009,"Comedy, Romance","English, Finnish, Spanish, French","$44,277,350",2009-02-13 00:00:00,5.8
Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy","English, Spanish","$241,071,802",2011-05-20 00:00:00,6.6
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi","English, French","$65,845,974",2019-06-07 00:00:00,5.7
Cruella,2021,"Adventure, Comedy, Crime","English, French","$86,103,234",2021-05-28 00:00:00,7.3
Dan in Real Life,2007,"Comedy, Drama, Romance",English,"$47,642,963",2007-10-26 00:00:00,6.8
Underdog,2007,"Action, Adventure, Comedy",English,"$43,760,605",2007-08-03 00:00:00,4.7
Eragon,2006,"Action, Adventure, Family",English,"$75,030,163",2006-12-15 00:00:00,5.1
Fantastic Four,2005,"Action, Adventure, Fantasy",English,"$154,696,080",2005-07-08 00:00:00,5.7
X-Men,2000,"Action, Adventure, Sci-Fi",English,"$157,299,718",2000-07-14 00:00:00,7.3
Mrs. Doubtfire,1993,"Comedy, Drama",English,"$219,195,243",1993-11-24 00:00:00,7.1
Garfield,2004,"Animation, Adventure, Comedy",English,"$75,369,589",2004-06-11 00:00:00,5.0
Ice Age: The Meltdown,2006,"Animation, Adventure, Comedy",English,"$195,330,621",2006-03-31 00:00:00,6.8
Turner & Hooch,1989,"Comedy, Crime, Drama",English,"$71,079,915",1989-07-28 00:00:00,6.2
