Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
We Bought a Zoo,2011,"Comedy, Drama, Family","English, Spanish","$75,624,550",2011-12-23 00:00:00,7.1
Flicka,2006,"Adventure, Drama, Family",English,"$21,000,147",2006-10-20 00:00:00,6.0
The Sandlot,1993,"Comedy, Drama, Family",English,"$32,950,136",1993-04-07 00:00:00,7.8
Adventures in Babysitting,1987,"Adventure, Comedy, Crime",English,"$34,368,475",1987-07-03 00:00:00,6.9
Strange Magic,2015,"Animation, Adventure, Comedy",English,"$12,429,583",2015-01-23 00:00:00,5.7
The Pacifier,2005,"Action, Comedy, Drama","English, Korean","$113,086,868",2005-03-04 00:00:00,5.6
Raya and the Last Dragon,2021,"Animation, Action, Adventure",English,"$54,723,032",2021-03-05 00:00:00,7.3
Red Tails,2012,"Action, Drama, History","English, Italian, German","$49,876,377",2012-01-20 00:00:00,5.9
X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",English,"$234,362,462",2006-05-26 00:00:00,6.6
The Incredible Hulk,2008,"Action, Adventure, Sci-Fi","English, Portuguese, Spanish","$134,806,913",2008-06-13 00:00:00,6.6
Fantastic Four: Rise of the Silver Surfer,2007,"Action, Adventure, Fantasy","English, Japanese, Chinese, Arabic","$131,921,738",2007-06-15 00:00:00,5.6
Wild Hearts Can't Be Broken,1991,"Drama, Family, Romance",English,"$7,294,835",1991-05-24 00:00:00,7.1
The Bad Batch,2016,"Action, Horror, Mystery",English,"$180,851",2017-06-23 00:00:00,5.2
Spider-Man,2002,"Action, Adventure, Sci-Fi",English,"$407,022,860",2002-05-03 00:00:00,7.4
Baby's Day Out,1994,"Adventure, Comedy, Crime",English,"$16,827,402",1994-07-01 00:00:00,6.1
Rio,2011,"Animation, Adventure, Comedy","English, Portuguese, Arabic, Spanish, Brazilian Sign ","$143,619,809",2011-04-15 00:00:00,6.9
The Kid Who Would Be King,2019,"Action, Adventure, Family",English,"$16,790,790",2019-01-25 00:00:00,6.1
White Fang 2: Myth of the White Wolf,1994,"Adventure, Family",English,"$8,878,839",1994-04-15 00:00:00,5.4
Man of the House,2005,"Comedy, Crime",English,"$19,699,706",2005-02-25 00:00:00,5.4
Squanto: A Warrior's Tale,1994,"Adventure, Biography, Drama",English,"$3,342,223",1994-10-28 00:00:00,6.0
Night at the Museum,2006,"Adventure, Comedy, Family","English, Italian, Hebrew","$250,863,268",2006-12-22 00:00:00,6.4
The Big Year,2011,Comedy,English,"$7,204,138",2011-10-14 00:00:00,6.2
Gnomeo & Juliet,2011,"Animation, Adventure, Comedy","English, Japanese, Spanish, German","$99,967,670",2011-02-11 00:00:00,5.9
Miss Peregrine's Home for Peculiar Children,2016,"Adventure, Drama, Family",English,"$87,242,834",2016-09-30 00:00:00,6.7
Garfield: A Tail of Two Kitties,2006,"Animation, Adventure, Comedy",English,"$28,426,747",2006-06-16 00:00:00,5.0
Cheaper by the Dozen 2,2005,"Adventure, Comedy, Family",English,"$82,571,173",2005-12-21 00:00:00,5.5
The Book of Life,2014,"Animation, Adventure, Comedy","English, Spanish","$50,151,543",2014-10-17 00:00:00,7.2
You Again,2010,"Comedy, Romance","English, French, German, Spanish, Hawaiian, Japanese, Italian, Hebrew","$25,702,053",2010-09-24 00:00:00,5.7
Isle of Dogs,2018,"Animation, Adventure, Comedy","English, Japanese","$32,015,231",2018-04-13 00:00:00,7.8
Mary Poppins Returns,2018,"Animation, Adventure, Comedy",English,"$171,958,438",2018-12-19 00:00:00,6.7
Ferdinand,2017,"Animation, Adventure, Comedy","English, Spanish, German","$84,410,380",2017-12-15 00:00:00,6.7
Max Keeble's Big Move,2001,"Comedy, Crime, Family",English,"$17,294,293",2001-10-05 00:00:00,5.4
Into the Woods,2014,"Adventure, Comedy, Drama",English,"$128,002,372",2014-12-25 00:00:00,5.9
Ralph Breaks the Internet,2018,"Animation, Adventure, Comedy",English,"$201,091,711",2018-11-21 00:00:00,7.0
Anastasia,1997,"Animation, Adventure, Drama","English, Russian, French","$58,406,347",1997-11-21 00:00:00,7.1
Mulan,1998,"Animation, Adventure, Comedy","English, Mandarin","$120,620,254",1998-06-19 00:00:00,7.6
Sky High,2005,"Action, Comedy, Family","English, Cantonese","$63,946,815",2005-07-29 00:00:00,6.3
The Nutcracker and the Four Realms,2018,"Adventure, Family, Fantasy","English, French","$54,858,851",2018-11-02 00:00:00,5.5
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy, Drama, Family",English,"$66,954,149",2014-10-10 00:00:00,6.2
Black Beauty,1994,"Adventure, Drama, Family",English,"$4,630,377",1994-07-29 00:00:00,6.6
Planes,2013,"Animation, Adventure, Comedy","English, Spanish, French, German, Mandarin, Icelandic","$90,288,712",2013-08-09 00:00:00,5.7
Planes: Fire & Rescue,2014,"Animation, Adventure, Comedy",English,"$59,165,787",2014-07-18 00:00:00,5.9
Home Alone,1990,"Comedy, Family",English,"$285,761,243",1990-11-16 00:00:00,7.7
Home Alone 2: Lost in New York,1992,"Adventure, Comedy, Crime","English, French, Spanish, Latin","$173,585,516",1992-11-20 00:00:00,6.8
Home Alone 3,1997,"Action, Comedy, Crime","English, Polish","$30,882,515",1997-12-12 00:00:00,4.5
Mr. Magoo,1997,"Adventure, Comedy, Family",English,"$21,437,192",1997-12-25 00:00:00,4.0
The Sorcerer's Apprentice,2010,"Action, Adventure, Family","English, Cantonese, Ukrainian, Hindi","$63,150,991",2010-07-14 00:00:00,6.1
Beverly Hills Chihuahua,2008,"Adventure, Comedy, Drama",English,"$94,514,402",2008-10-03 00:00:00,3.9
The Rocketeer,1991,"Action, Adventure, Family","English, German","$46,704,056",1991-06-21 00:00:00,6.5
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure, Family, Fantasy",English,"$104,386,950",2010-12-10 00:00:00,6.3
The Right Stuff,1983,"Adventure, Biography, Drama","English, Russian, Spanish","$21,192,102",1984-02-17 00:00:00,7.8
X2: X-Men United,2003,"Action, Adventure, Sci-Fi","English, German, Italian, Spanish","$214,949,694",2003-05-02 00:00:00,7.4
Mr. Holland's Opus,1995,"Drama, Music","English, American Sign ","$82,569,971",1996-01-19 00:00:00,7.3
Hidden Figures,2016,"Biography, Drama, History",English,"$169,607,287",2017-01-06 00:00:00,7.8
Ever After: A Cinderella Story,1998,"Comedy, Drama, Romance",English,"$65,705,771",1998-07-31 00:00:00,7.1
Morning Light,2008,"Documentary, Sport",English,"$275,497",2009-03-12 00:00:00,5.8
D2: The Mighty Ducks,1994,"Comedy, Drama, Family","English, Icelandic","$45,610,410",1994-03-25 00:00:00,6.1
Alice Through the Looking Glass,2016,"Adventure, Family, Fantasy",English,"$77,041,381",2016-05-27 00:00:00,6.2
Beauty and the Beast,1991,"Animation, Family, Fantasy","English, French","$218,967,620",1991-11-22 00:00:00,8.0
The Greatest Showman,2017,"Biography, Drama, Musical",English,"$174,340,174",2017-12-20 00:00:00,7.5
Prince of Persia: The Sands of Time,2010,"Action, Adventure, Fantasy",English,"$90,759,676",2010-05-28 00:00:00,6.6
The Peanuts Movie,2015,"Animation, Adventure, Comedy",English,"$130,178,411",2015-11-06 00:00:00,7.0
Incredibles 2,2018,"Animation, Action, Adventure",English,"$608,581,744",2018-06-15 00:00:00,7.6
Diary of a Wimpy Kid: The Long Haul,2017,"Adventure, Comedy, Family","English, Spanish","$20,738,724",2017-05-19 00:00:00,4.3
Diary of a Wimpy Kid: Rodrick Rules,2011,"Comedy, Family",English,"$52,698,535",2011-03-25 00:00:00,6.5
Ice Age: Collision Course,2016,"Animation, Adventure, Comedy",English,"$64,063,008",2016-07-22 00:00:00,5.6
Tarzan,1999,"Animation, Adventure, Comedy",English,"$171,091,819",1999-06-18 00:00:00,7.3
The Jungle Book,2016,"Adventure, Drama, Family","English, Hindi, Bengali, Kannada, Telugu, Tamil, Assamese, Urdu, Oriya, Punjabi, Malayalam, Marathi, Rajasthani, Haryanvi, Nepali","$364,001,123",2016-04-15 00:00:00,7.4
John Carter,2012,"Action, Adventure, Sci-Fi",English,"$73,078,100",2012-03-09 00:00:00,6.6
Homeward Bound: The Incredible Journey,1993,"Adventure, Comedy, Drama",English,"$41,833,324",1993-02-12 00:00:00,6.9
