Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi","English, Polish, German, Arabic, Egyptian (Ancient)","$155,442,489",2016-05-27 00:00:00,6.9
The Big Green,1995,"Comedy, Family, Sport",English,"$17,736,619",1995-09-29 00:00:00,5.5
Walt & El Grupo,2008,Documentary,English,"$20,521",2008-04-26 00:00:00,6.3
"Hello, Dolly!",1969,"Adventure, Comedy, Musical",English,"$400,881",1969-12-16 00:00:00,7.0
Inside Out,2015,"Animation, Adventure, Comedy","English, Portuguese","$356,921,711",2015-06-19 00:00:00,8.2
The Princess Bride,1987,"Adventure, Family, Fantasy",English,"$30,857,814",1987-10-09 00:00:00,8.0
Elephant,2003,"Crime, Drama, Thriller","English, German","$1,266,955",2003-11-14 00:00:00,7.1
Prom,2011,"Comedy, Drama, Family",English,"$10,130,219",2011-04-29 00:00:00,5.4
The Odd Life of Timothy Green,2012,"Comedy, Drama, Family",English,"$51,854,875",2012-08-15 00:00:00,6.6
A Wrinkle in Time,2018,"Adventure, Family, Fantasy",English,"$100,478,608",2018-03-09 00:00:00,4.2
G-Force,2009,"Animation, Action, Adventure","English, Spanish","$119,436,770",2009-07-24 00:00:00,5.1
